L_00008_22_01.mps.gz.log:Best objective 8.966494126080e+02, best bound 8.966494126080e+02, gap 0.0000%
L_00008_22_02.mps.gz.log:Best objective 5.836911411200e+02, best bound 5.836911411200e+02, gap 0.0000%
L_00008_22_03.mps.gz.log:Best objective 9.884821094400e+02, best bound 9.884821094400e+02, gap 0.0000%
L_00008_22_04.mps.gz.log:Best objective 1.353803890688e+03, best bound 1.353803890688e+03, gap 0.0000%
L_00016_64_01.mps.gz.log:Best objective 8.157727681413e+03, best bound 8.157727681413e+03, gap 0.0000%
L_00016_64_02.mps.gz.log:Best objective 1.015724063588e+04, best bound 1.015724063588e+04, gap 0.0000%
L_00016_64_03.mps.gz.log:Best objective 1.535887552807e+04, best bound 1.535887552807e+04, gap 0.0000%
L_00016_64_04.mps.gz.log:Best objective 1.472230130319e+04, best bound 1.472230130319e+04, gap 0.0000%
L_00032_181_01.mps.gz.log:Best objective 1.821979882642e+05, best bound 1.821979882642e+05, gap 0.0000%
L_00032_181_02.mps.gz.log:Best objective 2.068603364409e+05, best bound 2.068603364409e+05, gap 0.0000%
L_00032_181_03.mps.gz.log:Best objective 1.787212159318e+05, best bound 1.787212159318e+05, gap 0.0000%
L_00032_181_04.mps.gz.log:Best objective 1.613164409764e+05, best bound 1.613164409764e+05, gap 0.0000%
L_00064_512_01.mps.gz.log:Best objective 2.986310608488e+06, best bound 2.986310608488e+06, gap 0.0000%
L_00064_512_02.mps.gz.log:Best objective 1.969659250632e+06, best bound 1.969659250632e+06, gap 0.0000%
L_00064_512_03.mps.gz.log:Best objective 2.212158874383e+06, best bound 2.212158874383e+06, gap 0.0000%
L_00064_512_04.mps.gz.log:Best objective 2.679154662617e+06, best bound 2.679154662617e+06, gap 0.0000%
L_00128_1448_01.mps.gz.log:Best objective 4.479231925228e+07, best bound 4.479231925228e+07, gap 0.0000%
L_00128_1448_02.mps.gz.log:Best objective 3.662454558173e+07, best bound 3.662454558173e+07, gap 0.0000%
L_00128_1448_03.mps.gz.log:Best objective 4.111782744939e+07, best bound 4.111782744939e+07, gap 0.0000%
L_00128_1448_04.mps.gz.log:Best objective 4.384079084435e+07, best bound 4.384079084435e+07, gap 0.0000%
L_00256_4096_01.mps.gz.log:Best objective 6.789371389042e+08, best bound 6.789371389042e+08, gap 0.0000%
L_00256_4096_02.mps.gz.log:Best objective 6.840009301464e+08, best bound 6.840009301464e+08, gap 0.0000%
L_00256_4096_03.mps.gz.log:Best objective 5.858625049484e+08, best bound 5.858625049484e+08, gap 0.0000%
L_00256_4096_04.mps.gz.log:Best objective 6.272035365510e+08, best bound 6.272035365510e+08, gap 0.0000%
L_00512_11585_01.mps.gz.log:Best objective 1.015517135371e+10, best bound 1.015517135371e+10, gap 0.0000%
L_00512_11585_02.mps.gz.log:Best objective 9.700905459899e+09, best bound 9.700905459899e+09, gap 0.0000%
L_00512_11585_03.mps.gz.log:Best objective 1.075329058894e+10, best bound 1.075329058894e+10, gap 0.0000%
L_00512_11585_04.mps.gz.log:Best objective 1.042671942019e+10, best bound 1.042671942019e+10, gap 0.0000%
L_01024_32768_01.mps.gz.log:Best objective 1.685703854983e+11, best bound 1.685703854983e+11, gap 0.0000%
L_01024_32768_02.mps.gz.log:Best objective 1.668065431703e+11, best bound 1.668065431703e+11, gap 0.0000%
L_01024_32768_03.mps.gz.log:Best objective 1.667465776020e+11, best bound 1.667360083753e+11, gap 0.0063%
M_00008_8_01.mps.gz.log:Best objective 9.347111321600e+02, best bound 9.347111321600e+02, gap 0.0000%
M_00008_8_02.mps.gz.log:Best objective 8.030531379200e+02, best bound 8.030531379200e+02, gap 0.0000%
M_00008_8_03.mps.gz.log:Best objective 3.727243468800e+02, best bound 3.727243468800e+02, gap 0.0000%
M_00008_8_04.mps.gz.log:Best objective 5.458047795200e+02, best bound 5.458047795200e+02, gap 0.0000%
M_00016_16_01.mps.gz.log:Best objective 7.846735464366e+03, best bound 7.846735464366e+03, gap 0.0000%
M_00016_16_02.mps.gz.log:Best objective 1.048392683749e+04, best bound 1.048392683749e+04, gap 0.0000%
M_00016_16_03.mps.gz.log:Best objective 6.060426353705e+03, best bound 6.060426353705e+03, gap 0.0000%
M_00016_16_04.mps.gz.log:Best objective 7.356399144141e+03, best bound 7.356399144141e+03, gap 0.0000%
M_00032_32_01.mps.gz.log:Best objective 1.478511861989e+05, best bound 1.478511861989e+05, gap 0.0000%
M_00032_32_02.mps.gz.log:Best objective 1.253387038529e+05, best bound 1.253387038529e+05, gap 0.0000%
M_00032_32_03.mps.gz.log:Best objective 1.439230217384e+05, best bound 1.439230217384e+05, gap 0.0000%
M_00032_32_04.mps.gz.log:Best objective 8.649840944949e+04, best bound 8.649840944949e+04, gap 0.0000%
M_00064_64_01.mps.gz.log:Best objective 2.001421934383e+06, best bound 2.001421934383e+06, gap 0.0000%
M_00064_64_02.mps.gz.log:Best objective 1.775472561409e+06, best bound 1.775472561409e+06, gap 0.0000%
M_00064_64_03.mps.gz.log:Best objective 1.914717133047e+06, best bound 1.914717133047e+06, gap 0.0000%
M_00064_64_04.mps.gz.log:Best objective 1.757886351625e+06, best bound 1.757886351625e+06, gap 0.0000%
M_00128_128_01.mps.gz.log:Best objective 3.188430363237e+07, best bound 3.188430363237e+07, gap 0.0000%
